slot_definition_slot	UNOFFICIAL_range_type	abstract	alias	aliases	close_mappings	comments	deprecated	description	domain	exact_mappings	examples	from_schema	identifier	ifabsent	in_subset	inherited	inlined	is_a	mappings	multivalued	name	notes	owner	range	range_expression	readonly	recommended	see_also	singular_name	slot_uri	status	todos
source	type_definition		source	origin|derived from	prov:wasDerivedFrom|schema:isBasedOn	The described resource may be derived from the related resource in whole or in part		A related resource from which the element is derived.	element			https://w3id.org/linkml/meta			basic						source		slot_definition	uriorcurie						dcterms:source		
status	type_definition		status	workflow status				status of the element	element		[Example(value='bibo:draft', description=None)]	https://w3id.org/linkml/meta			basic						status		slot_definition	uriorcurie				https://www.hl7.org/fhir/valueset-publication-status.html|https://www.hl7.org/fhir/versions.html#std-process		bibo:status		
string_serialization	type_definition		string_serialization					"Used on a slot that stores the string serialization of the containing object. The syntax follows python formatted strings, with slot names enclosed in {}s. These are expanded using the values of those slots.
We call the slot with the serialization the s-slot, the slots used in the {}s are v-slots. If both s-slots and v-slots are populated on an object then the value of the s-slot should correspond to the expansion.
Implementations of frameworks may choose to use this property to either (a) PARSE: implement automated normalizations by parsing denormalized strings into complex objects (b) GENERARE: implement automated to_string labeling of complex objects
For example, a Measurement class may have 3 fields: unit, value, and string_value. The string_value slot may have a string_serialization of {value}{unit} such that if unit=cm and value=2, the value of string_value shouldd be 2cm"	definition			https://w3id.org/linkml/meta									string_serialization		slot_definition	string				https://github.com/linkml/issues/128				
structured_aliases	class_definition		structured_aliases					A list of structured_alias objects.				https://w3id.org/linkml/meta					True			True	structured_aliases		slot_definition	structured_alias						skosxl:altLabel		
structured_pattern	class_definition		structured_pattern					the string value of the slot must conform to the regular expression in the pattern expression	definition			https://w3id.org/linkml/meta				True					structured_pattern		slot_definition	pattern_expression								
subproperty_of	class_definition		subproperty_of					Ontology property which this slot is a subproperty of.  Note: setting this property on a slot does not guarantee an expansion of the ontological hiearchy into an enumerated list of possible values in every serialization of the model.	slot_definition		"[Example(value='RO:HOM0000001', description='this is the RO term for ""in homology relationship with"", and used as a value of subproperty of this means that any ontological child (related to RO:HOM0000001 via an is_a relationship), is a valid value for the slot that declares this with the subproperty_of tag.  This differs from the \'values_from\' meta model component in that \'values_from\' requires the id of a value set (said another way, if an entire ontology had a curie/identifier that was the identifier for the entire ontology, then that identifier would be used in \'values_from.\')')]"	https://w3id.org/linkml/meta									subproperty_of		slot_definition	slot_definition						rdfs:subPropertyOf		
symmetric	type_definition		symmetric		owl:SymmetricProperty			If s is symmetric, and i.s=v, then v.s=i	slot_definition			https://w3id.org/linkml/meta						relational_logical_characteristic			symmetric		slot_definition	boolean								
title	type_definition		title	long name				the official title of the element	element			https://w3id.org/linkml/meta			owl|basic						title		slot_definition	string						dcterms:title		
todos	type_definition		todos					Outstanding issue that needs resolution	element			https://w3id.org/linkml/meta			basic					True	todos		slot_definition	string								
transitive	type_definition		transitive		owl:TransitiveProperty			If s is transitive, and i.s=z, and s.s=j, then i.s=j	slot_definition			https://w3id.org/linkml/meta						relational_logical_characteristic			transitive		slot_definition	boolean								
transitive_form_of	class_definition		transitive_form_of			{'Example': 'ancestor_of is the transitive_form_of parent_of'}		If s transitive_form_of d, then (1) s holds whenever d holds (2) s is transitive (3) d holds whenever s holds and there are no intermediates, and s is not reflexive				https://w3id.org/linkml/meta									transitive_form_of		slot_definition	slot_definition								
usage_slot_name	type_definition		usage_slot_name					The name of the slot referenced in the slot_usage	slot_definition			https://w3id.org/linkml/meta									usage_slot_name		slot_definition	string		filled in by the loader						
values_from	type_definition		values_from					"The identifier of a ""value set"" -- a set of identifiers that form the possible values for the range of a slot. Note: this is different than 'subproperty_of' in that 'subproperty_of' is intended to be a single ontology term while 'values_from' is the identifier of an entire value set.  Additionally, this is different than an enumeration in that in an enumeration, the values of the enumeration are listed directly in the model itself. Setting this property on a slot does not guarantee an expansion of the ontological hiearchy into an enumerated list of possible values in every serialization of the model."	definition			https://w3id.org/linkml/meta								True	values_from		slot_definition	uriorcurie								
